Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Incidental prostate cancer in Asian men: high prevalence of incidental prostatic adenocarcinoma in Chinese patients undergoing radical cystoprostatectomy for treatment of bladder cancer and selection of candidates for prostate-sparing cystectomy.,"Yang, Xinyu; Monn, M Francesca; Liu, Libo; Liu, Yuli; Su, Jinwei; Lyu, Tianjing; Gong, Yanqing; Wang, Lisha; Davidson, Darrell D; Cheng, Liang","BACKGROUND: Previous studies report a low prevalence of incidental prostate cancer in Chinese patients (3-7%). We evaluated incidental prostatic adenocarcinoma (PCa) and urothelial carcinoma (UCa) involvement of the prostate in cystoprostatectomy specimens., METHODS: We analyzed 340 cystoprostatectomy specimens from patients who underwent radical cystoprostatectomy for the treatment of bladder cancer in China from 2004 to 2014. None of the patients had known prostate cancer prior to cystoprostatectomy., RESULTS: Overall, 180 (53%) patients had either PCa or UCa in the prostate. We found that 95 (28%) had PCa and 115 (34%) had UCa involvement of prostate. The rate of incidental prostate cancer was 21% and 31%, respectively, from two study periods (2004-2008 and 2009-2014). Among the 95 patients with PCa, 19 (20%) had Gleason score of >=7, nine (10%) had PCa tumor volume >0.5 cc, and eight (8.4%) had extracapsular extension. Of the 115 with prostatic UCa, 61 had prostatic urethra and/or periurethral prostatic duct involvement only, while 54 had prostatic stromal invasion. Age (odds ratio [OR] = 1.04, P = 0.001), increasing stage of bladder tumor (OR = 1.28, P = 0.005), multifocal tumors of bladder (OR = 3.22, P < 0.001), carcinoma in situ (CIS) in the bladder (OR = 5.52, P < 0.001), and bladder neck involvement (OR = 6.12, P < 0.001) were strongly associated with prostatic UCa., CONCLUSIONS: The rate of incidental PCa in cystoprostatectomy specimens in China has increased over the last decade. Patients with advanced age, elevated serum PSA level, advanced bladder tumor stage, multifocal bladder tumors, CIS in the bladder, and tumor location at the bladder neck should be excluded as candidates for prostate-sparing cystectomy. Copyright © 2015 Wiley Periodicals, Inc.",2015,/,The Prostate,75,8,845-54,,https://dx.doi.org/10.1002/pros.22966,25704311,#2718,Yang 2015,,
Focal Ablation Targeted to the Index Lesion in Multifocal Localised Prostate Cancer: a Prospective Development Study.,"Ahmed, Hashim U; Dickinson, Louise; Charman, Susan; Weir, Shraddha; McCartan, Neil; Hindley, Richard G; Freeman, Alex; Kirkham, Alex P; Sahu, Mahua; Scott, Rebecca; Allen, Clare; Van der Meulen, Jan; Emberton, Mark","BACKGROUND: Although localised prostate cancer is multifocal in most instances, the index lesion might be responsible for disease progression., OBJECTIVE: To determine the early genitourinary functional and cancer control outcomes of index lesion ablation., DESIGN, SETTING, AND PARTICIPANTS: This was a single-centre prospective development study in which 56 men were treated (July 2009-January 2011). The mean age was 63.9 yr (standard deviation 5.8) and median prostate-specific antigen (PSA) was 7.4 ng/ml (interquartile range [IQR] 5.6-9.5). There were seven (12.5%) low-risk, 47 (83.9%) intermediate-risk, and two (3.6%) high-risk cancers., INTERVENTION: Multiparametric magnetic resonance imaging (mpMRI) and prostate biopsies to localise disease, followed by index lesion ablation using high-intensity focused ultrasound., OUTCOME MEASUREMENTS AND STATISTICAL ANALYSIS: Primary outcomes were genitourinary side effects measured using validated questionnaires. Secondary outcomes included absence of clinically significant disease at 12 mo., RESULTS AND LIMITATIONS: The composite of leak-free, pad-free continence, and erections sufficient for penetration decreased from a baseline frequency of 40/56 (71.4%) to 33/56 (58.9%) at 12 mo. Pad-free and leak-free, pad-free continence was preserved in 48/52 (92.3%) and 46/50 (92.0%) patients, respectively. Erections sufficient for intercourse were preserved in 30/39 (76.9%) patients. The median PSA nadir decreased to 2.4 ng/ml (IQR 1.6-4.1). At 12 mo, 42/52 (80.8%) patients had histological absence of clinically significant cancer and 85.7% (48/56) had no measurable prostate cancer (biopsy and/or mpMRI). Two (3.6%) patients had clinically significant disease in untreated areas not detected at baseline. The main study limitation is the short follow-up duration., CONCLUSIONS: Index lesion ablation had low rates of genitourinary side effects and acceptable short-term absence of clinically significant cancer. Comparative effectiveness trials are required to assess cancer control outcomes against radical therapy., PATIENT SUMMARY: In this study we looked at whether it is possible to treat the largest and highest-grade tumour in men who have more than one known prostate tumour. We show that the side effects of targeted ablation were low, with acceptable rates of early cancer control. Larger studies with longer follow-up are needed., TRIAL REGISTRATION: NCT00988130. Copyright © 2015 European Association of Urology. Published by Elsevier B.V. All rights reserved.",2015,/,European urology,68,6,927-36,,https://dx.doi.org/10.1016/j.eururo.2015.01.030,25682339,#2719,Ahmed 2015,,
[Cancer control in focus insights and future perspectives for the focal treatment of prostate cancer].,"Schostak, M; Kollermann, J; Hadaschik, B; Blana, A; Ganzer, R; Henkel, T; Kohrmann, K U; Liehr, U-B; Machtens, S; Roosen, A; Salomon, G; Sentker, L; Witzsch, U; Schlemmer, H-P; Baumunk, D","Faced with the dilemma of choosing between the extremes of standard whole gland therapy and active surveillance, those affected by prostate cancer have recently been on the lookout for less invasive alternatives. Particularly the question of whether it would be possible in low risk cancer to treat only the tumour itself while sparing the organ has long been considered. This article discusses the pros and cons of focal treatment and elucidates the latest innovative technologies. High overtreatment rates in low-risk patients submitted to standard therapy and considerable technological advances in diagnosis (particularly multiparametric MRI) and therapy are regarded by the authors as key arguments for abandoning complete tumour eradication with its side effects in favour of sufficient local cancer control by focal treatment with better preserved quality of life in suitable cases. Copyright © Georg Thieme Verlag KG Stuttgart . New York.",2015,/,Aktuelle Urologie,46,1,39-44,,https://dx.doi.org/10.1055/s-0034-1396803,25658230,#2720,Schostak 2015,,
Risk of second cancers according to radiation therapy technique and modality in prostate cancer survivors.,"Berrington de Gonzalez, Amy; Wong, Jeannette; Kleinerman, Ruth; Kim, Clara; Morton, Lindsay; Bekelman, Justin E","PURPOSE: Radiation therapy (RT) techniques for prostate cancer are evolving rapidly, but the impact of these changes on risk of second cancers, which are an uncommon but serious consequence of RT, are uncertain. We conducted a comprehensive assessment of risks of second cancer according to RT technique (>10 MV vs <=10 MV and 3-dimensional [3D] vs 2D RT) and modality (external beam RT, brachytherapy, and combined modes) in a large cohort of prostate cancer patients., METHODS AND MATERIALS: The cohort was constructed using the Surveillance Epidemiology and End Results-Medicare database. We included cases of prostate cancer diagnosed in patients 66 to 84 years of age from 1992 to 2004 and followed through 2009. We used Poisson regression analysis to compare rates of second cancer across RT groups with adjustment for age, follow-up, chemotherapy, hormone therapy, and comorbidities. Analyses of second solid cancers were based on the number of 5-year survivors (n=38,733), and analyses of leukemia were based on number of 2-year survivors (n=52,515) to account for the minimum latency period for radiation-related cancer., RESULTS: During an average of 4.4 years' follow-up among 5-year prostate cancer survivors (2DRT = 5.5 years; 3DRT = 3.9 years; and brachytherapy = 2.7 years), 2933 second solid cancers were diagnosed. There were no significant differences in second solid cancer rates overall between 3DRT and 2DRT patients (relative risk [RR] = 1.00, 95% confidence interval [CI]: 0.91-1.09), but second rectal cancer rates were significantly lower after 3DRT (RR = 0.59, 95% CI: 0.40-0.88). Rates of second solid cancers for higher- and lower-energy RT were similar overall (RR = 0.97, 95% CI: 0.89-1.06), as were rates for site-specific cancers. There were significant reductions in colon cancer and leukemia rates in the first decade after brachytherapy compared to those after external beam RT., CONCLUSIONS: Advanced treatment planning may have reduced rectal cancer risks in prostate cancer survivors by approximately 3 cases per 1000 after 15 years. Despite concerns about the neutron doses, we did not find evidence that higher energy therapy was associated with increased second cancer risks. Copyright Published by Elsevier Inc.",2015,/,"International journal of radiation oncology, biology, physics",91,2,295-302,,https://dx.doi.org/10.1016/j.ijrobp.2014.10.040,25636756,#2721,BerringtondeGonzalez 2015,,
Dosimetric comparison between jaw tracking and static jaw techniques in intensity-modulated radiotherapy.,"Feng, Zhongsu; Wu, Hao; Zhang, Yibao; Zhang, Yunjun; Cheng, Jinsheng; Su, Xu","PURPOSE: To compare the dosimetric differences between jaw tracking technique (JTT) and static jaw technique (SJT) in dynamic intensity-modulated radiotherapy (d-IMRT) and assess the potential advantages of jaw tracking technique., METHODS: Two techniques, jaw tracking and static jaw, were used respectively to develop the d-IMRT plans for 28 cancer patients with various lesion sites: head and neck, lungs, esophageal, abdominal, prostate, rectal and cervical. The dose volume histograms (DVH) and selected dosimetric indexes for the whole body and for organs at risk (OARs) were compared. A two dimensional ionization chamber Array Seven29 (PTW, Freiburg, Germany) and OCTAVIUS Octagonal phantom (PTW, Freiburg, Germany) were used to verify all the plans., RESULTS: For all patients, the treatment plans using both techniques met the clinical requirements. The V5, V10, V20, V30, V40 (volumes receiving 5, 10, 20, 30 and 40 Gy at least, respectively), mean dose (Dmean) for the whole body and V5, V10, V20, Dmean for lungs in the JTT d-IMRT plans were significantly less than the corresponding values of the SJT d-IMRT plans (p < 0.001). The JTT d-IMRT plans deposited lower maximum dose (Dmax) to the lens, eyes, brainstem, spinal cord, and right optic nerve, the doses reductions for these OARs ranged from 2.2% to 28.6%. The JTT d-IMRT plans deposited significantly lower Dmean to various OARs (all p values < 0.05), the mean doses reductions for these OARs ranged from 1.1% to 31.0%, and the value reductions depend on the volume and the location of the OARs. The gamma evaluation method showed an excellent agreement between calculation and measurement for all techniques with criteria of 3%/3 mm., CONCLUSIONS: Both jaw tracking and static jaw d-IMRT plans can achieve comparable target dose coverage. JTT displays superior OARs sparing than SJT plans. These results are of clinical importance, especially for the patients with large and complex targets but close to some highly radio-sensitive organs to spare, and for patients with local recurrent or secondary primary malignant lesion within a previously irradiated area.",2015,/,"Radiation oncology (London, England)",10,101265111,28,,https://dx.doi.org/10.1186/s13014-015-0329-4,25623899,#2722,Feng 2015,,
CHEK2 mutations and the risk of papillary thyroid cancer.,"Siolek, Monika; Cybulski, Cezary; Gasior-Perczak, Danuta; Kowalik, Artur; Kozak-Klonowska, Beata; Kowalska, Aldona; Chlopek, Malgorzata; Kluzniak, Wojciech; Wokolorczyk, Dominika; Palyga, Iwona; Walczyk, Agnieszka; Lizis-Kolus, Katarzyna; Sun, Ping; Lubinski, Jan; Narod, Steven A; Gozdz, Stanislaw","Mutations in the cell cycle checkpoint kinase 2 (CHEK2) tumor suppressor gene are associated with multi-organ cancer susceptibility including cancers of the breast and prostate. A genetic association between thyroid and breast cancer has been suggested, however little is known about the determinants of this association. To characterize the association of CHEK2 mutations with thyroid cancer, we genotyped 468 unselected patients with papillary thyroid cancer and 468 (matched) cancer-free controls for four founder mutations of CHEK2 (1100delC, IVS2 + 1G>A, del5395 and I157T). We compared the family histories reported by patients with a CHEK2 mutation to those of non-carriers. A CHEK2 mutation was seen in 73 of 468 (15.6%) unselected patients with papillary thyroid cancer, compared to 28 of 460 (6.0%) age- and sex-matched controls (OR 3.3; p < 0.0001). A truncating mutation (IVS2 + 1G>A, 1100delC or del5395) was associated with a higher risk of thyroid cancer (OR = 5.7; p = 0.006), than was the missense mutation I157T (OR = 2.8; p = 0.0001). CHEK2 mutation carriers reported a family history of breast cancer 2.2 times more commonly than non-carriers (16.4% vs.8.1%; p = 0.05). A CHEK2 mutation was found in seven of 11 women (63%) with multiple primary cancers of the breast and thyroid (OR = 10; p = 0.0004). These results suggest that CHEK2 mutations predispose to thyroid cancer, familial aggregations of breast and thyroid cancer and to double primary cancers of the breast and thyroid. Copyright © 2015 UICC.",2015,/,International journal of cancer,137,3,548-52,,https://dx.doi.org/10.1002/ijc.29426,25583358,#2723,Siolek 2015,,
Metastatic tumors of the penis: a report of 8 cases and review of the literature.,"Zhang, Ke; Da, Jun; Yao, Hai-Jun; Zheng, Da-Chao; Cai, Zhi-Kang; Jiang, Yue-Qing; Xu, Ming-Xi; Wang, Zhong","The purpose of this study was to report the clinical characteristics, treatments, and outcomes of secondary penile cancers and review the literature of this rare condition. The records of 8 patients with metastatic penile cancer treated at our hospital from 2006 to 2013 were analyzed. A search of medical databases was conducted.Patient symptoms included penile mass (n = 7, 5 had concomitant pain) and acute urine retention (n = 1). The primary cancers included bladder, lung, gastric, liver, and prostate malignancies and 1 case of pulmonary epithelioid hemangioendothelioma. The longest time from diagnosis of the primary cancer to metastatic penile cancer was 16 years and the shortest was 7 months. Six patients were treated with phallectomy, 1 with resection of the mass, and 1 with only a biopsy because of advanced metastatic disease. Five patients are deceased at the time of this report, and the longest and shortest survival times (from the diagnosis of primary cancer to the death) were 16 years and 9 months, respectively. The literature review identified 17 cases reported since 2011, bringing the total number of reported cases to 480. Genitourinary cancer, primarily bladder and prostate, account for approximately 70 of the primary cancer sites and gastrointestinal cancers account for approximately 21%. Approximately half of the patients had died of their disease within 1 year of the diagnosis of penile metastasis. The prognosis of metastatic penile cancer is poor. Most primary cancers are in the urologic or gastrointestinal systems. Surgery and adjunctive therapy may improve symptoms, but fail to prolong survival.",2015,/,Medicine,94,1,e132,,https://dx.doi.org/10.1097/MD.0000000000000132,25569637,#2724,Zhang 2015,,
Additional Primary Malignancies in Patients with Gastrointestinal Stromal Tumor (GIST): A Clinicopathologic Study of 260 Patients with Molecular Analysis and Review of the Literature.,"Hechtman, Jaclyn Frances; DeMatteo, Ronald; Nafa, Khedoudja; Chi, Ping; Arcila, Maria E; Dogan, Snjezana; Oultache, Alifya; Chen, Wen; Hameed, Meera","BACKGROUND: The incidence of other primary neoplasms in gastrointestinal stromal tumor (GIST) patients is relatively high. Our aim was to better characterize the clinicopathologic and molecular relationships in a cohort of GIST patients., METHODS: All GIST patients with tumor samples sent for molecular testing were identified via electronic medical records. Clinicopathologic characteristics of GIST and additional primary malignancies were analyzed., RESULTS: Of 260 patients, 50 (19 %) had at least one additional primary malignancy. In 33 patients, separate primary neoplasms predated their GIST diagnosis and most commonly included: prostate (n = 9), breast (n = 8), and hematologic (n = 5). Renal (n = 4) and hematologic (n = 3) malignancies were the most frequent cancers identified after GIST diagnosis. The majority (8 of 12, 66 %) of malignancies diagnosed after GIST were found incidentally. Patients who developed other malignancies after GIST more often had KIT exon 11 mutations (100 vs. 66 %, P = 0.01). In comparison to patients with only GIST, patients with a second primary neoplasm of any chronology had GISTs with increased mitotic rate (>=5 per 50 high-power fields) (P = 0.0006). Literature review revealed colorectal cancer, gastric, prostate, renal, leukemia, and desmoid-type fibromatosis as the most common secondary neoplasms., CONCLUSIONS: Nineteen percent of GIST patients develop other malignancies. This is the first report to describe a relationship between additional primary malignancy and both mutation and mitotic rate of GIST. Although the basis of these relationships remains to be investigated, caution in the clinical management of GIST patients with additional lesions is warranted.",2015,/,Annals of surgical oncology,22,8,Sep-33,,https://dx.doi.org/10.1245/s10434-014-4332-z,25564173,#2725,Hechtman 2015,,
Prognostic impact of synchronous second primary malignancies on the overall survival of patients with metastatic prostate cancer.,"Koo, Kyo Chul; Yoo, Hanna; Kim, Ki Hong; Park, Sang Un; Han, Kyung Seok; Rha, Koon Ho; Hong, Sung Joon; Yang, Seung Choul; Chung, Byung Ha","PURPOSE: We determined the prognostic impact of a synchronous second primary malignancy on overall survival in patients with metastatic prostate cancer. Identifying features that stratify the risk of overall survival is critical for judiciously applying definitive therapy., MATERIALS AND METHODS: We retrospectively analyzed the records of 582 consecutive patients with prostate cancer diagnosed with metastasis between May 7, 1998 and August 27, 2011. Patient age, body mass index, ECOG performance status, Charlson comorbidity index, prostate specific antigen, T and N stages, Gleason and ASA R scores, progression to castration resistant prostate cancer, prior local treatments and synchronous second primary malignancies at metastasis were assessed. A synchronous second primary malignancy was defined as a cytologically or histologically proven solid malignancy. Cox proportional hazards regression analysis was done to estimate overall survival by second primary type and evaluate predictive variables., RESULTS: A total of 164 patients (28.1%) had a synchronous second primary malignancy, of which colorectal (9.1%), stomach (7.3%) and lung (7.1%) cancers were the most prevalent types. During a median followup of 34.1 months patients without a synchronous second primary malignancy had a significantly higher overall survival rate than those with lung or stomach cancer. However, men without a second malignancy had outcomes comparable to those in men with colorectal cancer. Clinical stage T4 or greater, ASA score 1 or greater and lung or stomach cancer were independent predictors of overall mortality., CONCLUSIONS: A substantial proportion of patients with metastatic prostate cancer present with a synchronous second primary malignancy. Definitive therapy targeting prostate cancer may confer a limited survival benefit in patients with synchronous lung or stomach cancer. Copyright © 2015 American Urological Association Education and Research, Inc. Published by Elsevier Inc. All rights reserved.",2015,/,The Journal of urology,193,4,1239-44,,https://dx.doi.org/10.1016/j.juro.2014.10.088,25444987,#2726,Koo 2015,,
The identification of incident cancers in UK primary care databases: a systematic review.,"Ranopa, Michael; Douglas, Ian; van Staa, Tjeerd; Smeeth, Liam; Klungel, Olaf; Reynolds, Robert; Bhaskaran, Krishnan","PURPOSE: UK primary care databases are frequently used in observational studies with cancer outcomes. We aimed to systematically review methods used by such studies to identify and validate incident cancers of the breast, colorectum, and prostate., METHODS: Medline and Embase (1980-2013) were searched for UK primary care database studies with incident breast, colorectal, or prostate cancer outcomes. Data on the methods used for case ascertainment were extracted and summarised. Questionnaires were sent to corresponding authors to obtain details about case ascertainment., RESULTS: Eighty-four studies of breast (n = 51), colorectal (n = 54), and prostate cancer (n = 31) were identified; 30 examined >1 cancer type. Among the 84 studies, 57 defined cancers using only diagnosis codes, while 27 required further evidence such as chemotherapy. Few studies described methods used to create cancer code lists (n = 5); or made lists available directly (n = 5). Twenty-eight code lists were received on request from study authors. All included malignant neoplasm diagnosis codes, but there was considerable variation in the specific codes included which was not explained by coding dictionary changes. Code lists also varied in terms of other types of codes included, such as in-situ, cancer morphology, history of cancer, and secondary/suspected/borderline cancer codes., CONCLUSIONS: In UK primary care database studies, methods for identifying breast, colorectal, and prostate cancers were often unclear. Code lists were often unavailable, and where provided, we observed variation in the individual codes and types of codes included. Clearer reporting of methods and publication of code lists would improve transparency and reproducibility of studies. Copyright © 2014 John Wiley & Sons, Ltd.",2015,/,Pharmacoepidemiology and drug safety,24,1,08-Nov,,https://dx.doi.org/10.1002/pds.3729,25421570,#2727,Ranopa 2015,,
